breed,disease,severity,recommendation
Abyssinian,Enfermedad periodontal,Media,Higiene dental y controles veterinarios frecuentes
Abyssinian,Amiloidosis renal,Alta,Monitorear función renal periódicamente
Abyssinian,Atrofia progresiva de retina,Media,Realizar revisiones oftalmológicas
Bengal,Cardiomiopatía hipertrófica,Alta,Realizar ecocardiogramas preventivos
Bengal,Atrofia progresiva de retina,Media,Controles visuales regulares
Bengal,Displasia de cadera,Media,Evitar sobrepeso y monitorear movilidad
Bombay,Problemas respiratorios,Media,Evitar ambientes con humo o polvo
Bombay,Obesidad,Media,Controlar dieta y ejercicio
Bombay,Cardiomiopatía hipertrófica,Alta,Chequeos cardíacos periódicos
Birman,Enfermedad renal poliquística,Alta,Monitoreo renal constante
Birman,Obesidad,Media,Mantener dieta balanceada
Birman,Cardiomiopatía hipertrófica,Alta,Revisiones veterinarias frecuentes
British Shorthair,Obesidad,Alta,Control nutricional y actividad física
British Shorthair,Cardiomiopatía hipertrófica,Alta,Ecocardiogramas preventivos
British Shorthair,Enfermedad periodontal,Media,Limpieza dental frecuente
Maine Coon,Cardiomiopatía hipertrófica,Alta,Monitoreo cardíaco regular
Maine Coon,Displasia de cadera,Alta,Evitar sobrepeso y realizar ejercicio moderado
Maine Coon,Atrofia muscular espinal,Media,Controles neurológicos
Persian,Problemas respiratorios,Alta,Evitar calor extremo y monitorear respiración
Persian,Enfermedad renal poliquística,Alta,Revisiones renales periódicas
Persian,Problemas oculares,Media,Limpieza y revisión ocular frecuente
Egyptian Mau,Cardiomiopatía hipertrófica,Alta,Chequeos cardíacos preventivos
Egyptian Mau,Asma felina,Media,Evitar ambientes contaminados
Egyptian Mau,Obesidad,Media,Mantener actividad física constante
Ragdoll,Cardiomiopatía hipertrófica,Alta,Monitoreo cardíaco frecuente
Ragdoll,Cálculos urinarios,Media,Control de hidratación y alimentación
Ragdoll,Obesidad,Media,Controlar ingesta calórica
Russian Blue,Obesidad,Media,Ejercicio diario y dieta controlada
Russian Blue,Problemas urinarios,Media,Monitorear hábitos urinarios
Russian Blue,Diabetes felina,Media,Evitar sobrepeso
Siamese,Problemas respiratorios,Media,Evitar cambios bruscos de temperatura
Siamese,Amiloidosis,Alta,Monitoreo hepático y renal
Siamese,Problemas visuales,Baja,Revisión oftalmológica
Sphynx,Cardiomiopatía hipertrófica,Alta,Controles cardíacos frecuentes
Sphynx,Problemas dermatológicos,Alta,Higiene regular de la piel
Sphynx,Hipotermia,Media,Evitar exposición al frío
Boxer,Cardiomiopatía dilatada,Alta,Chequeos cardíacos frecuentes
Boxer,Cáncer,Alta,Controles veterinarios preventivos
Boxer,Displasia de cadera,Media,Monitorear movilidad y peso
Keeshond,Epilepsia,Media,Controles neurológicos
Keeshond,Displasia de cadera,Media,Evitar obesidad
Keeshond,Hipotiroidismo,Media,Exámenes hormonales periódicos
Havanese,Cataratas,Media,Controles oftalmológicos
Havanese,Sordera congénita,Baja,Evaluaciones auditivas
Havanese,Problemas dentales,Media,Higiene dental constante
Basset Hound,Problemas de columna,Alta,Evitar saltos excesivos
Basset Hound,Obesidad,Alta,Control de alimentación
Basset Hound,Infecciones de oído,Media,Limpieza frecuente de orejas
English Setter,Displasia de cadera,Alta,Monitorear actividad física
English Setter,Hipotiroidismo,Media,Exámenes veterinarios regulares
English Setter,Sordera congénita,Baja,Pruebas auditivas preventivas
Miniature Pinscher,Luxación de rótula,Media,Evitar ejercicios bruscos
Miniature Pinscher,Epilepsia,Media,Controles neurológicos
Miniature Pinscher,Problemas dentales,Media,Higiene oral frecuente
Chihuahua,Problemas cardíacos,Alta,Chequeos veterinarios frecuentes
